config,lora_r,lora_alpha,lora_dropout,learning_rate,epochs,Acc_1.0,Acc_0.5,MAE,QWK,OffTopic_Acc,False_Positive,False_Negative,Best_Epoch,Best_Eval_Loss,Train_Time_Min,Eval_Time_Min,Total_Time_Min
r8,8,8,0,5e-06,3,74.11764705882354,56.666666666666664,0.8549019607843137,0.7626841967714051,87.45098039215686,49,15,3.0,0.6870990991592407,7.8,26.9,34.8
r16,16,16,0,5e-06,3,76.66666666666667,59.80392156862745,0.7607843137254902,0.8122048467500864,90.98039215686275,26,20,3.0,0.5250173211097717,7.0,30.2,37.2
r32,32,32,0,5e-06,3,77.05882352941177,61.76470588235294,0.7607843137254902,0.8042535057930047,91.37254901960785,24,20,3.0,0.4792175889015198,7.2,30.2,37.4
r64,64,64,0,5e-06,3,76.86274509803923,62.745098039215684,0.7480392156862745,0.807834941830997,90.98039215686275,21,25,2.0,0.4625605046749115,7.6,30.4,38.0
r80,80,80,0,5e-06,3,78.43137254901961,61.76470588235294,0.7352941176470589,0.8140690410863094,90.98039215686275,22,24,2.0,0.4719577431678772,8.0,30.5,38.5
r96,96,96,0,5e-06,3,76.47058823529412,60.3921568627451,0.7696078431372549,0.8045263734258077,91.56862745098039,24,19,1.0,0.4680353105068207,8.6,30.1,38.7
r128,128,128,0,5e-06,3,78.03921568627452,58.03921568627452,0.7519607843137255,0.8164594215246821,90.58823529411765,24,24,1.0,0.460979700088501,8.8,30.7,39.5
