config,lora_r,lora_alpha,lora_dropout,learning_rate,epochs,Acc_1.0,Acc_0.5,MAE,QWK,OffTopic_Acc,False_Positive,False_Negative,Best_Epoch,Best_Eval_Loss,Train_Time_Min,Eval_Time_Min,Total_Time_Min
lr1e-06,80,80,0,1e-06,3,76.27450980392156,57.84313725490197,0.788235294117647,0.8039950489294336,88.62745098039215,46,12,3.0,0.642401933670044,8.6,27.1,35.7
lr5e-06,80,80,0,5e-06,3,79.01960784313725,62.35294117647059,0.7264705882352941,0.819075785582255,90.7843137254902,24,23,2.0,0.4719536602497101,7.7,27.0,34.7
lr1e-05,80,80,0,1e-05,3,78.23529411764706,59.411764705882355,0.7323529411764705,0.8272434207613766,90.3921568627451,24,25,1.0,0.46702682971954346,7.7,26.8,34.5
lr2e-05,80,80,0,2e-05,3,81.17647058823529,62.15686274509804,0.6696078431372549,0.8513476318519616,90.7843137254902,18,29,1.0,0.6185830235481262,7.7,27.2,34.9
